SN,DN/IP-List,First-Date,Last-Date
1,2233.haoqing.me,2020/4/14,2020/5/7
2,6.test.3322.org.cn,2013/6/4,2014/6/4
3,7.test.3322.org.cn,2013/6/4,2014/6/4
4,8.test.3322.org.cn,2013/6/4,2014/6/4
5,9.test.3322.org.cn,2013/6/4,2014/6/4
6,a.haoqing.me,2020/4/14,2020/5/7
7,a2010226.gicp.net,2010/2/28,2010/2/28
8,aaa.stage.10066091.micro.imagescache.club,2020/5/25,2020/9/24
9,aaa69696969.3322.org,2009/2/25,2009/11/26
10,acc.microsoftonetravel.com,2020/5/14,2020/5/14
11,ad03.eynyforum.com,2019/4/29,2019/5/14
12,adeqnic.com,2009/3/4,2009/3/10
13,adjfwo.seifwpfiw.com,2020/4/29,2020/7/13
14,aene4rf.x24hr.com,2019/10/8,2020/9/24
15,afuda.twbbs.org,2010/3/10,2010/3/10
16,agarwalpropertyconsultants.com,2020/8/21,2020/8/21
17,akams.live,2019/9/24,2020/9/24
18,akams.livee,2019/9/24,2020/9/24
19,amazon.otzo.com,2014/5/22,2014/5/22
20,amazon.panasocin.com,2018/7/31,2018/7/31
21,amlakist.com,2020/7/28,2020/7/28
22,ams05.cksogo.com,2020/8/20,2020/9/24
23,anca-aste.it,2020/8/21,2020/8/21
24,antotehlant.theworkpc.com,2020/1/9,2020/9/24
25,ap123.eynyforum.com,2019/4/29,2019/4/29
26,ap125.eynyforum.com,2019/4/29,2019/4/29
27,ap21.gckerda.com,2020/8/20,2020/9/24
28,ap21.ilvsmail.com,2019/4/24,2019/7/15
29,ap97.cksogo.com,2019/4/29,2019/4/29
30,api.wipmania.com,2019/1/8,2020/9/24
31,asushotfix.com,2019/3/27,2019/3/27
32,aundes.com,2020/8/24,2020/8/24
33,autogrand.mooo.com,2018/7/25,2020/9/24
34,automercado.co.cr,2020/8/21,2020/8/21
35,avast.avstore.com.tw,2013/9/25,2013/9/25
36,babe.belhost.net,2013/1/20,2013/1/20
37,bamboojungle.ddns.net,2018/3/26,2018/3/26
38,banana.cocolands.su,2020/2/5,2020/9/24
39,bbaolong.vicp.net,2009/12/22,2010/7/7
40,bbsngacc.effers.com,2014/3/18,2014/3/18
41,bbsr.twbbs.org,2009/12/20,2009/12/28
42,bektonm.com,2019/1/8,2020/9/24
43,blog.airancewebcom.moda,2019/8/22,2020/9/24
44,blogs.zyns.com,2013/5/29,2013/6/6
45,blue2009.3322.org,2010/3/17,2010/3/17
46,bpcnt.adwords-google.com.tw,2020/3/23,2020/9/24
47,brembotembo.com,2020/6/29,2020/9/24
48,broadweb.cybertw.com,2019/4/29,2019/6/30
49,bursa-digiturk.com,2019/3/25,2020/9/24
50,carsails.allowed.org,2019/8/14,2019/8/14
51,categery.com,2019/5/8,2020/9/24
52,cccc.elrooted.com,2020/1/30,2020/1/31
53,cdbpub.tw,2020/8/24,2020/8/24
54,changestyle.longmusic.com,2013/3/5,2013/3/5
55,chat.junker.winsopt.com,2018/7/25,2020/9/24
56,chinnyann.ddns.net,2020/5/6,2020/5/6
57,chinnyann.duckdns.org,2020/5/6,2020/5/6
