SN,DN/IP-List,First-Date,Last-Date
1,1.163.23.105,2018/11/7,2020/9/24
2,1.169.22.190,2018/11/7,2020/9/24
3,1.170.10.206,2013/5/8,2013/5/8
4,1.170.115.172,2014/12/14,2014/12/17
5,1.170.117.10,2013/4/11,2013/4/11
6,1.170.12.159,2013/4/24,2013/4/24
7,1.170.12.59,2014/11/4,2014/11/9
8,1.170.15.175,2013/6/17,2013/6/17
9,1.170.42.142,2013/6/25,2013/6/25
10,1.170.42.84,2014/11/10,2014/11/10
11,1.170.44.54,2015/3/12,2015/3/12
12,1.170.47.99,2013/5/15,2013/5/20
13,100.42.217.73,2013/1/17,2013/1/17
14,101.1.27.128,2013/9/2,2013/9/9
15,103.110.80.126,2018/10/28,2020/9/24
16,103.110.80.2,2018/10/28,2020/9/24
17,103.110.80.20,2018/10/31,2018/10/31
18,103.110.80.34,2018/12/6,2018/12/6
19,103.110.80.48,2018/10/22,2018/10/22
20,103.123.134.18,2019/9/22,2020/9/24
21,103.125.218.28,2019/12/31,2020/9/24
22,103.16.228.138,2018/2/7,2020/9/24
23,103.17.119.137,2015/3/26,2015/3/26
24,103.193.149.26,2020/8/20,2020/9/24
25,103.193.4.130,2020/5/25,2020/9/24
26,103.208.35.213,2020/3/23,2020/3/23
27,103.230.15.130,2020/2/16,2020/9/24
28,103.238.227.39,2017/5/11,2017/5/11
29,103.240.202.34,2020/8/20,2020/9/24
30,103.27.108.122,2016/4/14,2016/4/14
31,103.28.46.4,2019/5/5,2019/5/5
32,103.3.46.2,2020/1/9,2020/9/24
33,103.30.5.193,2013/3/13,2013/3/13
34,103.30.5.240,2013/3/19,2013/3/19
35,103.35.207.177,2020/3/23,2020/9/24
36,103.40.101.71,2016/8/7,2016/8/7
37,103.51.146.63,2019/11/4,2020/9/24
38,103.55.26.219,2018/11/18,2020/9/24
39,103.56.16.216,2019/11/4,2020/9/24
40,103.59.46.2,2018/10/21,2020/9/24
41,103.73.161.218,2018/12/16,2018/12/16
42,104.168.196.80,2020/2/16,2020/9/24
43,104.168.196.85,2020/2/16,2020/9/24
44,104.168.196.88,2020/2/16,2020/9/24
45,104.224.185.36,2020/5/14,2020/5/14
46,104.233.224.227,2020/5/14,2020/5/14
47,104.238.183.35,2018/2/7,2020/9/24
48,104.243.34.82,2017/8/9,2017/8/10
49,104.5.49.54,2020/6/29,2020/9/24
50,107.10.139.119,2020/6/29,2020/9/24
51,107.159.94.183,2020/6/29,2020/9/24
52,107.184.201.99,2020/6/29,2020/9/24
53,108.171.207.231,2013/3/19,2013/3/19
54,108.61.181.120,2020/6/18,2020/9/24
55,109.104.79.48,2020/6/29,2020/9/24
56,109.73.52.242,2020/6/29,2020/9/24
57,110.169.107.239,2020/6/29,2020/9/24
58,112.121.182.150,2013/3/27,2013/3/27
59,112.213.96.236,2013/1/20,2013/3/24
60,112.217.184.90,2014/8/25,2014/9/2
61,113.10.221.89,2013/5/14,2014/10/16
62,113.10.247.170,2014/4/21,2014/4/21
63,114.39.188.220,2019/11/25,2019/11/25
64,114.39.55.178,2013/3/11,2013/3/11
65,114.40.29.13,2013/3/11,2013/3/11
66,114.47.84.229,2020/2/25,2020/9/24
67,115.74.214.134,2020/6/29,2020/9/24
68,116.206.92.117,2018/10/28,2020/9/24
69,118.128.75.244,2013/5/12,2013/5/19
